120,153,0.78
100,125,0.8
71,142,0.5
56,73,0.77
56,104,0.54
50,112,0.45
49,58,0.84
48,100,0.48
48,120,0.4
47,63,0.75
46,81,0.57
45,70,0.64
44,92,0.48
42,89,0.47
42,97,0.43
35,41,0.85
34,35,0.97
32,88,0.36
32,52,0.62
31,61,0.51
30,78,0.38
30,85,0.35
30,86,0.35
30,88,0.34
29,58,0.5
29,61,0.48
29,71,0.41
29,106,0.27
28,37,0.76
28,141,0.2
27,47,0.57
27,73,0.37
26,44,0.59
25,46,0.54
25,59,0.42
25,65,0.38
25,65,0.36
24,28,0.86
24,46,0.52
24,103,0.23
24,124,0.19
23,57,0.4
23,105,0.22
22,46,0.48
22,75,0.29
21,33,0.64
21,47,0.45
21,52,0.4
21,73,0.29
21,73,0.29
